9/25/14 11:28 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	    9510	38604	                     207356	                       235923	    64	
Remaining:       	    9042	37377	                     200890	                       228700	    61	
Unique:          	    7490	33641	                     181155	                       206837	    64	
Unique Remaining:	    7267	32778	                     176656	                       201708	    61	


Individual File Statistics:

File Name                 	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
Mage_Widget.csv           	            75	                72	             63	                       63	        189	            185	         171	                   171	                             1066	                                 1045	                               971	                                         971	                               1181	                                   1159	                                1078	                                          1078	
Mage_Paygate.csv          	            80	                78	             58	                       58	        429	            426	         371	                   371	                             2362	                                 2346	                              2019	                                        2019	                               2707	                                   2690	                                2328	                                          2328	
Mage_Page.csv             	            81	                81	             75	                       75	        332	            332	         322	                   322	                             1632	                                 1632	                              1580	                                        1580	                               1882	                                   1882	                                1824	                                          1824	
Mage_GoogleBase.csv       	            83	                81	             74	                       74	        337	            333	         325	                   325	                             1716	                                 1699	                              1654	                                        1654	                               1964	                                   1945	                                1899	                                          1899	
Mage_Review.csv           	            95	                85	             77	                       77	        311	            286	         277	                   277	                             1554	                                 1459	                              1413	                                        1413	                               1743	                                   1633	                                1586	                                          1586	
Mage_Shipping.csv         	            95	                93	             78	                       78	        331	            328	         310	                   310	                             1825	                                 1809	                              1711	                                        1711	                               2059	                                   2042	                                1942	                                          1942	
Mage_Downloadable.csv     	            98	                93	             75	                       75	        335	            329	         297	                   297	                             1896	                                 1872	                              1705	                                        1705	                               2127	                                   2102	                                1921	                                          1921	
Mage_Wishlist.csv         	            99	                92	             81	                       81	        438	            427	         407	                   407	                             2249	                                 2180	                              2081	                                        2081	                               2571	                                   2497	                                2389	                                          2389	
Mage_Tag.csv              	           103	                96	             74	                       74	        317	            308	         265	                   265	                             1538	                                 1492	                              1288	                                        1288	                               1748	                                   1700	                                1475	                                          1475	
Mage_Oauth.csv            	           121	               112	            100	                      100	        415	            404	         381	                   381	                             2397	                                 2331	                              2212	                                        2212	                               2690	                                   2621	                                2491	                                          2491	
