"Invalid store specified","Посочен е невалиден магазин"
"Invalid type given. String expected","Invalid type given. String expected"
"Joined field with this alias is already declared","Обединени полета с този псевдоним са вече декларирани."
"Joint field or attribute expression with this alias is already declared","Общо полет или атрибут израз с този псевдоним е вече деклариран."
"Letters","Букви"
"Letters (a-z, A-Z) or Numbers (0-9)","Букви (a-z, A-Z, а-я, А-Я) или числа (0-9)"
"Loaded %d records","Заредени %d записа"
"Maximum length of attribute code must be less then %s symbols","Maximum length of attribute code must be less then %s symbols"
"Multiple Select","Множествен избор"
"No","Не"
"No options found in config node %s","Няма намерени опции в конфигурационен елемент %s"
"None","Няма"
"Not shared with other products","Несподелен с други продукти"
"Problem loading the collection, aborting. Error: %s","Проблем при зареждане на колекцията, прекратяване на операцията. Грешка: %s"
"Problem saving the collection, aborting. Error: %s","Проблем при съхраняване на колекцията, прекратяване на операцията. Грешка: %s"
"Required","Задължително"
"Saved %d record(s).","Записан(и) %d запис(а)."
"Source model ""%s"" not found for attribute ""%s""","Source model ""%s"" not found for attribute ""%s"""
"System","Система"
"Text Area","Текстова област"
"Text Field","Текстово поле"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Атрибут кода \'%s\' е системен. Моля, изберете друг атрибут код."
"The value of attribute ""%s"" must be unique","Стойността на атрибут ""%s"" трябва да е уникална."
"The value of attribute ""%s"" must be unique.","Стойността на атрибут ""%s"" трябва да е уникална."
"This attribute is used in configurable products","Този атрибут се използва в конфигурирани продукти."
"URL","URL"
"Unique Value","Уникална стойност"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Unknown parameter","Неизвестен параметър."
"Values Required","Задължителни стойности"
"Wrong attribute group ID","Грешно ID на група атрибути."
"Wrong attribute set ID","Грешно ID на атрибут група."
"Wrong entity ID","Грешно ID на единица."
"Wrong type definition for %s","Wrong type definition for %s"
"Yes","Да"
"Yes/No","Да/Не"
